lecturer_id,academic_rank,research_field
1,Assoc. Prof.,Khoa học máy tính
2,Ph.D.,Kinh tế phát triển
13,Assoc. Prof.,Trí tuệ nhân tạo
14,Ph.D.,Hệ thống thông tin
15,M.Sc.,Mạng máy tính
16,Ph.D.,Khoa học dữ liệu
17,M.Sc.,Công nghệ phần mềm
18,Ph.D.,An toàn thông tin
19,M.Sc.,Kỹ thuật phần mềm
20,Ph.D.,Quản trị kinh doanh
21,M.Sc.,Marketing
22,Ph.D.,Kế toán - Kiểm toán
23,M.Sc.,Tài chính doanh nghiệp
24,Ph.D.,Ngôn ngữ Anh
25,M.Sc.,Biên - Phiên dịch
26,M.Sc.,Giảng dạy tiếng Anh
27,M.Sc.,Ngôn ngữ học ứng dụng
28,Assoc. Prof.,Kết cấu công trình
29,Ph.D.,Địa kỹ thuật công trình
30,M.Sc.,Địa kỹ thuật
31,M.Sc.,Vật liệu xây dựng
32,Ph.D.,Triết học
33,M.Sc.,Lịch sử Đảng
34,M.Sc.,Luật học
35,Ph.D.,Toán ứng dụng
36,M.Sc.,Xác suất thống kê
